date,Administratif,Aéronautique,Agriculture,Agro-alimentaire,Animation,Architecture,Artisanat,Assistante de direction,Assurances,Audiovisuel,Audit,Automobile,Autres,Aviation,Banque,Biologie,Call Center,Chimie,Commerce,Communication,Comptabilité,Confection,Consulting,Cosmétique,Cuisine,Décor,Documentation,Droit,Economie,Energie,Enseignement,Finance,Fiscalité,Génie civil,Génie électrique,Gestion,Hydraulique,Immobilier,Import / Export,Industrie électro-mécaniques,Industrie Métalliques,Informatique,Journalisme,Langues,Logistique,Maintenance industrielle,Management,Marketing,Plasturgie,Production,Psychologie,Rédaction,Ressources Humaines,Santé,Sécurité,Sport,Statistiques,Telecommunication,Textile,Tourisme,Traduction,Transport,pib,chomage,Freelance,Secteur privé,Secteur public
09/18,17,1,0,1,1,2,0,15,1,1,2,4,10,0,0,0,12,1,39,0,18,1,4,4,3,0,1,1,0,1,9,9,1,5,4,2,0,1,2,2,4,49,0,1,3,2,2,3,0,2,0,4,3,7,0,2,0,0,0,9,1,3,1.24,15.46,2,257,6
10/18,14,0,0,3,1,4,0,4,1,2,2,5,3,0,0,0,11,0,29,2,16,0,4,3,5,0,0,0,0,0,17,2,0,6,0,4,0,4,1,1,2,77,0,1,2,4,6,8,0,6,0,5,2,4,0,1,1,1,0,5,0,2,1.24,15.46,4,259,0
11/18,13,0,0,0,1,0,0,2,0,1,3,1,1,0,1,0,7,0,33,1,8,0,1,0,1,0,0,0,0,0,5,4,0,4,0,7,0,0,0,2,3,67,1,0,1,2,4,6,0,5,0,0,5,3,0,1,0,0,0,3,0,3,1.24,15.46,2,189,2
12/18,10,0,1,1,1,4,0,6,1,2,2,4,3,0,2,2,3,0,32,0,9,1,0,2,1,0,0,1,0,0,0,5,0,1,5,3,1,1,0,7,2,74,0,2,2,3,9,5,0,6,0,2,4,6,0,1,0,0,1,13,1,3,1.24,15.46,1,227,5
01/19,16,0,2,1,0,1,0,6,2,2,2,3,4,0,0,0,3,0,36,1,11,1,0,4,2,0,1,0,1,0,5,2,0,4,3,6,0,0,1,5,1,87,0,2,2,1,3,3,0,5,0,1,2,5,1,1,1,3,1,3,0,5,-1.83,15.13,5,220,2
02/19,17,0,0,1,1,1,0,2,2,1,1,0,5,0,0,0,10,2,39,4,9,0,3,2,6,1,1,1,0,1,3,1,0,5,2,3,2,2,0,10,2,52,1,2,1,3,1,5,0,4,0,4,9,2,0,0,0,1,2,12,0,3,-1.83,15.13,3,224,0
03/19,12,0,0,1,0,3,0,7,3,1,1,1,3,0,1,1,12,0,26,2,12,1,2,3,2,0,1,2,0,0,0,5,0,2,5,1,0,0,1,8,1,58,1,0,2,3,1,5,0,4,0,2,1,5,2,2,0,1,1,3,0,2,-1.83,15.13,0,210,0
04/19,29,0,1,1,1,1,0,2,1,0,1,2,15,0,0,0,17,1,24,1,13,3,2,3,4,0,0,1,0,0,4,1,0,2,5,3,0,1,0,3,1,48,0,2,3,2,0,3,0,6,0,1,5,6,1,0,1,1,0,8,0,2,-1.83,15.13,5,211,6
05/19,20,0,0,6,0,3,0,6,1,1,0,2,12,0,1,1,7,0,19,0,8,0,2,6,6,0,0,0,0,1,2,1,0,5,2,4,2,0,0,11,1,62,0,0,1,4,1,3,1,10,0,2,2,4,0,1,0,0,0,12,0,1,-1.83,15.13,3,230,0
06/19,16,0,0,0,0,2,0,9,4,0,1,1,4,0,1,0,4,0,19,3,13,0,1,0,6,0,1,2,1,1,2,4,0,2,0,5,0,0,0,7,4,64,0,2,2,3,0,4,1,2,0,0,5,5,0,0,0,3,1,15,0,2,-1.83,15.13,1,205,0
